"Wilshire 5000 (Full Cap) Total Market",""
"Index Dates","Period Return","Index Values"
"19970430","0.93","23.4316500"
"19970501","-0.07","23.4163700"
"19970502","1.94","23.8710200"
"19970505","2.15","24.3841200"
"19970506","-0.29","24.3140100"
"19970507","-1.16","24.0323600"
"19970508","0.44","24.1377400"
"19970509","0.54","24.2671500"
"19970512","1.31","24.5840000"
"19970513","-0.43","24.4780600"
"19970514","0.36","24.5667700"
"19970515","0.59","24.7125400"
"19970516","-1.08","24.4457100"
"19970519","0.30","24.5186100"
"19970520","0.93","24.7461000"
"19970521","-0.11","24.7180100"
"19970522","-0.24","24.6583400"
"19970523","1.26","24.9691800"
"19970527","0.32","25.0492500"
"19970528","-0.07","25.0309100"
"19970529","-0.26","24.9654900"
"19970530","0.51","25.0918800"
"19970602","0.04","25.1022400"
"19970603","-0.14","25.0670100"
"19970604","-0.42","24.9612200"
"19970605","0.44","25.0708300"
"19970606","1.42","25.4264900"
"19970609","0.49","25.5506900"
"19970610","0.17","25.5933400"
"19970611","0.41","25.6986400"
"19970612","1.31","26.0349800"
"19970613","1.00","26.2942200"
"19970616","0.07","26.3135700"
"19970617","0.15","26.3521400"
"19970618","-0.35","26.2592900"
"19970619","0.95","26.5089100"
"19970620","-0.03","26.5014900"
"19970623","-1.80","26.0245000"
"19970624","1.60","26.4400700"
"19970625","-0.68","26.2600400"
"19970626","-0.47","26.1357300"
"19970627","0.44","26.2497900"
"19970630","-0.02","26.2444500"
"19970701","0.51","26.3791100"
"19970702","1.19","26.6923200"
"19970703","1.19","27.0088800"
"19970707","-0.32","26.9238000"
"19970708","0.71","27.1137800"
"19970709","-0.93","26.8610800"
"19970710","0.62","27.0278500"
"19970711","0.44","27.1473300"
"19970714","0.25","27.2165000"
"19970715","0.76","27.4233500"
"19970716","1.14","27.7372100"
"19970717","-0.51","27.5953200"
"19970718","-1.38","27.2157600"
"19970721","-0.40","27.1074300"
"19970722","2.00","27.6486800"
"19970723","0.30","27.7313100"
"19970724","0.33","27.8219700"
"19970725","-0.09","27.7970700"
"19970728","-0.21","27.7376800"
"19970729","0.55","27.8909000"
"19970730","1.10","28.1967600"
"19970731","0.23","28.2622000"
"19970801","-0.56","28.1027900"
"19970804","0.32","28.1921500"
"19970805","0.36","28.2942500"
"19970806","0.76","28.5087500"
"19970807","-0.75","28.2941000"
"19970808","-1.77","27.7931900"
"19970811","0.17","27.8402700"
"19970812","-0.89","27.5914100"
"19970813","-0.24","27.5246000"
"19970814","0.28","27.6015200"
"19970815","-2.02","27.0430200"
"19970818","0.83","27.2663100"
"19970819","1.39","27.6448800"
"19970820","1.36","28.0217400"
"19970821","-1.21","27.6836800"
"19970822","-0.27","27.6076400"
"19970825","-0.10","27.5808300"
"19970826","-0.57","27.4240900"
"19970827","0.20","27.4803000"
"19970828","-0.77","27.2684400"
"19970829","-0.25","27.1997400"
"19970902","2.49","27.8772600"
"19970903","0.20","27.9343100"
"19970904","0.30","28.0186500"
"19970905","0.04","28.0303700"
"19970908","0.34","28.1243800"
"19970909","0.30","28.2082200"
"19970910","-1.17","27.8775500"
"19970911","-0.60","27.7097500"
"19970912","1.21","28.0446000"
"19970915","-0.28","27.9654900"
"19970916","2.23","28.5904000"
"19970917","-0.05","28.5758200"
"19970918","0.38","28.6832000"
"19970919","0.32","28.7742500"
"19970922","0.52","28.9227800"
"19970923","-0.25","28.8497100"
"19970924","-0.60","28.6760500"
"19970925","-0.59","28.5073800"
"19970926","0.66","28.6956800"
"19970929","0.76","28.9132200"
"19970930","-0.38","28.8046700"
"19971001","0.65","28.9925500"
"19971002","0.58","29.1597800"
"19971003","0.50","29.3067000"
"19971006","0.69","29.5091200"
"19971007","0.90","29.7736800"
"19971008","-0.61","29.5916700"
"19971009","-0.17","29.5400700"
"19971010","-0.26","29.4632500"
"19971013","0.10","29.4933400"
"19971014","0.05","29.5082800"
"19971015","-0.31","29.4173500"
"19971016","-1.03","29.1138100"
"19971017","-1.27","28.7432700"
"19971020","1.13","29.0667000"
"19971021","1.66","29.5478100"
"19971022","-0.27","29.4666600"
"19971023","-1.80","28.9356300"
"19971024","-0.78","28.7085300"
"19971027","-6.53","26.8344300"
"19971028","4.02","27.9130600"
"19971029","0.16","27.9579000"
"19971030","-1.56","27.5210700"
"19971031","1.18","27.8453300"
"19971103","2.31","28.4884700"
"19971104","0.26","28.5638600"
"19971105","0.37","28.6698500"
"19971106","-0.49","28.5300600"
"19971107","-1.26","28.1700800"
"19971110","-0.49","28.0308800"
"19971111","0.06","28.0476700"
"19971112","-1.92","27.5084700"
"19971113","0.85","27.7422700"
"19971114","1.21","28.0780100"
"19971117","1.85","28.5980300"
"19971118","-0.77","28.3780600"
"19971119","0.46","28.5079100"
"19971120","1.38","28.9007100"
"19971121","0.28","28.9821300"
"19971124","-1.65","28.5044700"
"19971125","0.37","28.6103900"
"19971126","0.19","28.6654800"
"19971128","0.32","28.7570600"
"19971201","1.83","29.2834900"
"19971202","-0.28","29.2002600"
"19971203","0.53","29.3562600"
"19971204","-0.17","29.3050100"
"19971205","0.99","29.5946300"
"19971208","0.07","29.6161400"
"19971209","-0.72","29.4026500"
"19971210","-0.75","29.1812900"
"19971211","-1.56","28.7273700"
"19971212","-0.27","28.6502500"
"19971215","0.68","28.8440700"
